Date	LOCATION	Approved_applications	Actual_use	Headcounts		Country
05/20	NZL	 66.27 	 66.27 	 1436 		Nova Zelândia
05/20	FRA	 54.93 	 32.61 	 13140 		França
04/20	CHE	 45.43 	#N/A	 1842 		Suíça
05/20	ITA	 45.20 	#N/A	 8178 		Itália
05/20	AUT	 36.84 	 36.84 	 1415 		Austria
05/20	PRT	 32.95 	#N/A	 1344 		Portugal
05/20	GBR	 31.47 	 31.47 	 8696 		Reino Unido
05/20	DEU	 30.24 	 18.74 	 11720 		Alemanha
04/20	LUX	 28.03 	#N/A	 73 		Luxemburgo
05/20	NLD	 27.97 	 27.97 	 2100 		Países Baixos
05/20	AUS	 24.69 	 24.69 	 2900 		Austrália
05/20	BEL	 22.49 	#N/A	 939 		Bélgica
05/20	IRL	 18.83 	 18.83 	 380 		Irlanda
05/20	CZE	 18.09 	 18.09 	 799 		República Checa
05/20	ESP	 17.81 	 17.81 	 2999 		Espanha
05/20	SWE	 11.48 	 11.48 	 531 		Suécia
05/20	DNK	 9.19 	 9.19 	 243 		Dinamarca
05/20	NOR	 8.50 	 8.50 	 217 		Noruega
05/20	FIN	 7.35 	 7.35 	 162 		Finlândia
05/20	LVA	 5.61 	 5.61 	 45 		Letônia
06/20	CAN	 15.86 	 15.86 	 2573 		Canadá
05/20	USA	 0.14 	 0.14 	 214 		Estados Unidos
	OTO	 25.43 	#N/A	 61946 		Média OCDE
